epoch,accuracy,loss,val_accuracy,val_loss
0,0.4957599341869354,0.6933780312538147,0.5006518959999084,0.6931456923484802
1,0.49249836802482605,0.6932065486907959,0.49934810400009155,0.6931560039520264
2,0.49510762095451355,0.6932070255279541,0.5006518959999084,0.6931465864181519
3,0.48793214559555054,0.6931838989257812,0.5006518959999084,0.6931458115577698
4,0.48727983236312866,0.6931669116020203,0.49934810400009155,0.6931391358375549
5,0.5104370713233948,0.6930609941482544,0.49934810400009155,0.6917673945426941
6,0.5534898638725281,0.6786918044090271,0.6258148550987244,0.6457141041755676
7,0.6418786644935608,0.6397737264633179,0.6962190270423889,0.5896502733230591
8,0.6816699504852295,0.6098621487617493,0.7209908962249756,0.5682679414749146
9,0.6702544093132019,0.6062333583831787,0.736636221408844,0.565089762210846
0,0.5348988771438599,0.6932603716850281,0.6362451314926147,0.6904222369194031
1,0.5772994160652161,0.690095067024231,0.6010430455207825,0.6868470907211304
2,0.5567514896392822,0.687950611114502,0.6140808463096619,0.6832630038261414
3,0.5815394520759583,0.683427095413208,0.633637547492981,0.6775614619255066
4,0.5926288366317749,0.6797918081283569,0.6088657379150391,0.6728955507278442
